2023-11-16 17:21:09 - Creating converter from 3 to 5
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 185) - Time: 0.00171 s - Est.: 0.267 nats
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 186) - Time: 0.00173 s - Est.: 0.267 nats
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 187) - Time: 0.00172 s - Est.: 0.276 nats
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 188) - Time: 0.00172 s - Est.: 0.274 nats
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 189) - Time: 0.00172 s - Est.: 0.254 nats
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 190) - Time: 0.00171 s - Est.: 0.266 nats
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 191) - Time: 0.00170 s - Est.: 0.275 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 192) - Time: 0.00171 s - Est.: 0.272 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 193) - Time: 0.00172 s - Est.: 0.281 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 194) - Time: 0.00174 s - Est.: 0.272 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 195) - Time: 0.00176 s - Est.: 0.263 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 196) - Time: 0.00173 s - Est.: 0.274 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 197) - Time: 0.00174 s - Est.: 0.264 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 198) - Time: 0.00170 s - Est.: 0.268 nats
2023-11-16 17:21:35 - (UNIFORM, scott, 10000, 199) - Time: 0.00172 s - Est.: 0.268 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 200) - Time: 0.00170 s - Est.: 0.275 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 201) - Time: 0.00170 s - Est.: 0.261 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 202) - Time: 0.00172 s - Est.: 0.265 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 203) - Time: 0.00171 s - Est.: 0.275 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 204) - Time: 0.00172 s - Est.: 0.267 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 205) - Time: 0.00173 s - Est.: 0.263 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 206) - Time: 0.00171 s - Est.: 0.268 nats
2023-11-16 17:21:36 - (UNIFORM, scott, 10000, 207) - Time: 0.00173 s - Est.: 0.268 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 208) - Time: 0.00178 s - Est.: 0.267 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 209) - Time: 0.00172 s - Est.: 0.257 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 210) - Time: 0.00171 s - Est.: 0.271 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 211) - Time: 0.00173 s - Est.: 0.267 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 212) - Time: 0.00173 s - Est.: 0.269 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 213) - Time: 0.00170 s - Est.: 0.265 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 214) - Time: 0.00173 s - Est.: 0.273 nats
2023-11-16 17:21:37 - (UNIFORM, scott, 10000, 215) - Time: 0.00170 s - Est.: 0.273 nats
2023-11-16 17:21:38 - (UNIFORM, scott, 10000, 216) - Time: 0.00172 s - Est.: 0.254 nats
2023-11-16 17:21:38 - (UNIFORM, scott, 10000, 217) - Time: 0.00170 s - Est.: 0.278 nats
2023-11-16 17:21:38 - (UNIFORM, scott, 10000, 218) - Time: 0.00171 s - Est.: 0.263 nats
2023-11-16 17:21:38 - (UNIFORM, scott, 10000, 219) - Time: 0.00175 s - Est.: 0.268 nats
2023-11-16 17:21:38 - (UNIFORM, scott, 10000, 220) - Time: 0.00170 s - Est.: 0.271 nats
2023-11-16 17:21:38 - (UNIFORM, scott, 10000, 221) - Time: 0.00176 s - Est.: 0.270 nats
2023-11-16 17:21:38 - (UNIFORM, scott, 10000, 222) - Time: 0.00177 s - Est.: 0.264 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 223) - Time: 0.00171 s - Est.: 0.280 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 224) - Time: 0.00171 s - Est.: 0.263 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 225) - Time: 0.00174 s - Est.: 0.270 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 226) - Time: 0.00173 s - Est.: 0.270 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 227) - Time: 0.00172 s - Est.: 0.266 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 228) - Time: 0.00173 s - Est.: 0.272 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 229) - Time: 0.00172 s - Est.: 0.263 nats
2023-11-16 17:21:39 - (UNIFORM, scott, 10000, 230) - Time: 0.00174 s - Est.: 0.273 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 231) - Time: 0.00172 s - Est.: 0.276 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 232) - Time: 0.00173 s - Est.: 0.273 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 233) - Time: 0.00170 s - Est.: 0.263 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 234) - Time: 0.00173 s - Est.: 0.265 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 235) - Time: 0.00174 s - Est.: 0.277 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 236) - Time: 0.00172 s - Est.: 0.267 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 237) - Time: 0.00172 s - Est.: 0.268 nats
2023-11-16 17:21:40 - (UNIFORM, scott, 10000, 238) - Time: 0.00170 s - Est.: 0.271 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 239) - Time: 0.00171 s - Est.: 0.270 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 240) - Time: 0.00170 s - Est.: 0.277 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 241) - Time: 0.00171 s - Est.: 0.274 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 242) - Time: 0.00172 s - Est.: 0.260 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 243) - Time: 0.00171 s - Est.: 0.266 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 244) - Time: 0.00171 s - Est.: 0.263 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 245) - Time: 0.00170 s - Est.: 0.282 nats
2023-11-16 17:21:41 - (UNIFORM, scott, 10000, 246) - Time: 0.00170 s - Est.: 0.276 nats
